taxon,loading_comp1,loading_comp2,abs_loading_comp1,abs_loading_comp2,selected_comp1,selected_comp2,in_heatmap
Species|[Clostridium] symbiosum,0,0,0,0,FALSE,FALSE,FALSE
Genus|Sellimonas,0,0,0,0,FALSE,FALSE,FALSE
Species|Sellimonas catena,0,0,0,0,FALSE,FALSE,FALSE
Species|Sellimonas intestinalis,0,0,0,0,FALSE,FALSE,FALSE
Species|Sellimonas caecigallum,0,0,0,0,FALSE,FALSE,FALSE
Genus|Dorea,0,0,0,0,FALSE,FALSE,FALSE
Species|Dorea formicigenerans,0,0,0,0,FALSE,FALSE,FALSE
Species|Dorea longicatena,0,0,0,0,FALSE,FALSE,FALSE
Species|Dorea amylophila,0,0,0,0,FALSE,FALSE,FALSE
Genus|Anaerostipes,0,0,0,0,FALSE,FALSE,FALSE
Species|Anaerostipes sp. PC18,0,0,0,0,FALSE,FALSE,FALSE
Species|Anaerostipes hadrus,0,0,0,0,FALSE,FALSE,FALSE
Species|Anaerostipes caccae,0,0,0,0,FALSE,FALSE,FALSE
Species|Anaerostipes rhamnosivorans,0,0,0,0,FALSE,FALSE,FALSE
Genus|Hungatella,0,0,0,0,FALSE,FALSE,FALSE
Species|Hungatella hathewayi,0,0,0,0,FALSE,FALSE,FALSE
Species|Hungatella sp. SB206,0,0,0,0,FALSE,FALSE,FALSE
Genus|Lacrimispora,0,0,0,0,FALSE,FALSE,FALSE
Species|Lacrimispora xylanisolvens,0,0,0,0,FALSE,FALSE,FALSE
Species|Lacrimispora xylanolytica,0,0,0,0,FALSE,FALSE,FALSE
Species|Lacrimispora sinapis,0,0,0,0,FALSE,FALSE,FALSE
Species|Lacrimispora sp. HJ-01,0,0,0,0,FALSE,FALSE,FALSE
Species|Lacrimispora sp. BS-2,0,0,0,0,FALSE,FALSE,FALSE
Species|Lacrimispora saccharolytica,0,0,0,0,FALSE,FALSE,FALSE
Genus|Coprococcus,0,0,0,0,FALSE,FALSE,FALSE
Species|Coprococcus phoceensis,0,0,0,0,FALSE,FALSE,FALSE
Species|Coprococcus comes,0,0,0,0,FALSE,FALSE,FALSE
Species|Coprococcus catus,0,0,0,0,FALSE,FALSE,FALSE
Species|Coprococcus eutactus,0,0,0,0,FALSE,FALSE,FALSE
Species|Coprococcus sp. ART55/1,0,0,0,0,FALSE,FALSE,FALSE
Species|Eisenbergiella porci,0,0,0,0,FALSE,FALSE,FALSE
Species|Claveliimonas bilis,0,0,0,0,FALSE,FALSE,FALSE
Genus|Kineothrix,0,0,0,0,FALSE,FALSE,FALSE
Species|Kineothrix sp. MB12-C1,0,0,0,0,FALSE,FALSE,FALSE
Species|Kineothrix sedimenti,0,0,0,0,FALSE,FALSE,FALSE
Genus|Butyrivibrio,0,0,0,0,FALSE,FALSE,FALSE
Species|Butyrivibrio fibrisolvens,0,0,0,0,FALSE,FALSE,FALSE
Species|Butyrivibrio sp. JL13D10,0,0,0,0,FALSE,FALSE,FALSE
Species|Butyrivibrio hungatei,0,0,0,0,FALSE,FALSE,FALSE
Genus|Anaerocolumna,0,0,0,0,FALSE,FALSE,FALSE
Species|Anaerocolumna sp. AGMB13025,0,0,0,0,FALSE,FALSE,FALSE
Species|Anaerocolumna sp. AGMB13020,0,0,0,0,FALSE,FALSE,FALSE
Species|Anaerocolumna sp. MB42-C2,0,0,0,0,FALSE,FALSE,FALSE
Species|Anaerocolumna chitinilytica,0,0,0,0,FALSE,FALSE,FALSE
Species|Anaerocolumna cellulosilytica,0,0,0,0,FALSE,FALSE,FALSE
Species|Anaerocolumna sedimenticola,0,0,0,0,FALSE,FALSE,FALSE
Genus|Anaerobutyricum,0,0,0,0,FALSE,FALSE,FALSE
Species|Anaerobutyricum hallii,0,0,0,0,FALSE,FALSE,FALSE
Species|Faecalicatena sp. Marseille-Q4148,0,0,0,0,FALSE,FALSE,FALSE
Species|Qiania dongpingensis,0,0,0,0,FALSE,FALSE,FALSE
Species|Hominifimenecus sp. rT4P-3,0,0,0,0,FALSE,FALSE,FALSE
Species|Waltera intestinalis,0,0,0,0,FALSE,FALSE,FALSE
Species|Simiaoa sunii,0,0,0,0,FALSE,FALSE,FALSE
